Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2016,1,1000,Alabama,4741355,814197,796927,831467,"796,927 to 831,467",17.2,16.8,17.6,16.8 to 17.6,1081979,267674,258276,277072,"258,276 to 277,072",24.7,23.8,25.6,23.8 to 25.6,791471,185889,177569,194209,"177,569 to 194,209",23.5,22.4,24.6,22.4 to 24.6,287177,78675,74257,83093,"74,257 to 83,093",27.4,25.9,28.9,25.9 to 28.9,46309,45650,46968,"$45,650 to $46,968"
2015,1,1000,Alabama,4736374,875853,859781,891925,"859,781 to 891,925",18.5,18.2,18.8,18.2 to 18.8,1087692,288450,280320,296580,"280,320 to 296,580",26.5,25.8,27.2,25.8 to 27.2,797216,201222,194143,208301,"194,143 to 208,301",25.2,24.3,26.1,24.3 to 26.1,287164,84382,80530,88234,"80,530 to 88,234",29.4,28.1,30.7,28.1 to 30.7,44833,44110,45556,"$44,110 to $45,556"
2014,1,1000,Alabama,4727546,905682,888317,923047,"888,317 to 923,047",19.2,18.8,19.6,18.8 to 19.6,1091420,298682,290188,307176,"290,188 to 307,176",27.4,26.6,28.2,26.6 to 28.2,799916,207154,199920,214388,"199,920 to 214,388",25.9,25,26.8,25.0 to 26.8,288183,88203,83938,92468,"83,938 to 92,468",30.6,29.1,32.1,29.1 to 32.1,42917,42335,43499,"$42,335 to $43,499"
2013,1,1000,Alabama,4716072,889091,873141,905041,"873,141 to 905,041",18.9,18.6,19.2,18.6 to 19.2,1096240,300649,291502,309796,"291,502 to 309,796",27.4,26.6,28.2,26.6 to 28.2,801058,205023,197115,212931,"197,115 to 212,931",25.6,24.6,26.6,24.6 to 26.6,291362,92126,87734,96518,"87,734 to 96,518",31.6,30.1,33.1,30.1 to 33.1,42882,42260,43504,"$42,260 to $43,504"
2012,1,1000,Alabama,4706967,896515,880205,912825,"880,205 to 912,825",19,18.7,19.3,18.7 to 19.3,1111278,306451,298963,313939,"298,963 to 313,939",27.6,26.9,28.3,26.9 to 28.3,808562,208811,202516,215106,"202,516 to 215,106",25.8,25,26.6,25.0 to 26.6,299413,94623,90649,98597,"90,649 to 98,597",31.6,30.3,32.9,30.3 to 32.9,41610,41143,42077,"$41,143 to $42,077"
2011,1,1000,Alabama,4687327,896117,879174,913060,"879,174 to 913,060",19.1,18.7,19.5,18.7 to 19.5,1114604,307310,298317,316303,"298,317 to 316,303",27.6,26.8,28.4,26.8 to 28.4,812029,209724,201714,217734,"201,714 to 217,734",25.8,24.8,26.8,24.8 to 26.8,298962,94184,89925,98443,"89,925 to 98,443",31.5,30.1,32.9,30.1 to 32.9,41427,40894,41960,"$40,894 to $41,960"
2010,1,1000,Alabama,4667040,883078,867106,899050,"867,106 to 899,050",18.9,18.6,19.2,18.6 to 19.2,1115210,305292,296223,314361,"296,223 to 314,361",27.4,26.6,28.2,26.6 to 28.2,811713,207778,199900,215656,"199,900 to 215,656",25.6,24.6,26.6,24.6 to 26.6,299655,93895,89540,98250,"89,540 to 98,250",31.3,29.8,32.8,29.8 to 32.8,40538,40081,40995,"$40,081 to $40,995"
2009,1,1000,Alabama,4588886,805223,789114,821333,"789,114 to 821,333",17.5,17.2,17.9,17.2 to 17.9,1115169,274243,265833,282654,"265,833 to 282,654",24.6,23.8,25.3,23.8 to 25.3,800884,181942,175085,188799,"175,085 to 188,799",22.7,21.9,23.6,21.9 to 23.6,311058,89398,84576,94221,"84,576 to 94,221",28.7,27.2,30.3,27.2 to 30.3,40547,40037,41057,"$40,037 to $41,057"
2008,1,1000,Alabama,4541753,721875,706983,736766,"706,983 to 736,766",15.9,15.6,16.2,15.6 to 16.2,1105914,244661,236008,253314,"236,008 to 253,314",22.1,21.3,22.9,21.3 to 22.9,794750,157565,149941,165189,"149,941 to 165,189",19.8,18.9,20.8,18.9 to 20.8,305031,82291,78070,86511,"78,070 to 86,511",27,25.6,28.4,25.6 to 28.4,42586,41924,43248,"$41,924 to $43,248"
2007,1,1000,Alabama,4506569,750197,734699,765695,"734,699 to 765,695",16.6,16.3,17,16.3 to 17.0,1105467,261151,252546,269756,"252,546 to 269,756",23.6,22.8,24.4,22.8 to 24.4,797945,174665,166811,182519,"166,811 to 182,519",21.9,20.9,22.9,20.9 to 22.9,302511,81858,78293,85424,"78,293 to 85,424",27.1,25.9,28.2,25.9 to 28.2,40596,40178,41014,"$40,178 to $41,014"
2006,1,1000,Alabama,4482161,743556,730298,756815,"730,298 to 756,815",16.6,16.3,16.9,16.3 to 16.9,1097080,253314,246023,260606,"246,023 to 260,606",23.1,22.4,23.8,22.4 to 23.8,796679,171004,164556,177452,"164,556 to 177,452",21.5,20.7,22.3,20.7 to 22.3,294334,77388,74009,80767,"74,009 to 80,767",26.3,25.1,27.4,25.1 to 27.4,38811,38320,39302,"$38,320 to $39,302"
2005,1,1000,Alabama,4429785,749592,734673,764511,"734,673 to 764,511",16.9,16.6,17.3,16.6 to 17.3,1072696,260919,252894,268944,"252,894 to 268,944",24.3,23.6,25.1,23.6 to 25.1,772561,172197,165523,178871,"165,523 to 178,871",22.3,21.4,23.2,21.4 to 23.2,293225,83890,79692,88088,"79,692 to 88,088",28.6,27.2,30,27.2 to 30.0,36936,36431,37441,"$36,431 to $37,441"
2004,1,1000,Alabama,4463171,717483,675992,758974,"675,992 to 758,974",16.1,15.1,17,15.1 to 17.0,1082849,245017,226152,263881,"226,152 to 263,881",22.6,20.9,24.4,20.9 to 24.4,775423,160787,143834,177740,"143,834 to 177,740",20.7,18.5,22.9,18.5 to 22.9,295125,77330,68732,85928,"68,732 to 85,928",26.2,23.3,29.1,23.3 to 29.1,37062,35614,38510,"$35,614 to $38,510"
2003,1,1000,Alabama,4436894,677455,644647,710263,"644,647 to 710,263",15.3,14.5,16,14.5 to 16.0,1091889,243658,227912,259403,"227,912 to 259,403",22.3,20.9,23.8,20.9 to 23.8,788134,165578,153639,177517,"153,639 to 177,517",21,19.5,22.5,19.5 to 22.5,293161,72477,62361,82594,"62,361 to 82,594",24.7,21.3,28.2,21.3 to 28.2,36131,34659,37602,"$34,659 to $37,602"
2002,1,1000,Alabama,4414359,679856,646828,712885,"646,828 to 712,885",15.4,14.7,16.1,14.7 to 16.1,1104233,238077,221362,254791,"221,362 to 254,791",21.6,20,23.1,20.0 to 23.1,798787,156495,142450,170540,"142,450 to 170,540",19.6,17.8,21.3,17.8 to 21.3,297647,76033,66986,85079,"66,986 to 85,079",25.5,22.5,28.6,22.5 to 28.6,35943,34186,37700,"$34,186 to $37,700"
2001,1,1000,Alabama,4373427,685071,655302,714839,"655,302 to 714,839",15.7,15,16.3,15.0 to 16.3,1096934,242907,223243,262570,"223,243 to 262,570",22.1,20.4,23.9,20.4 to 23.9,797182,160001,142584,177418,"142,584 to 177,418",20.1,17.9,22.3,17.9 to 22.3,289881,75623,68058,83188,"68,058 to 83,188",26.1,23.5,28.7,23.5 to 28.7,34761,33377,36145,"$33,377 to $36,145"
2000,1,1000,Alabama,4371402,637119,606255,667982,"606,255 to 667,982",14.6,13.9,15.3,13.9 to 15.3,1104080,226222,209959,242486,"209,959 to 242,486",20.5,19,22,19.0 to 22.0,800291,147165,133140,161190,"133,140 to 161,190",18.4,16.6,20.1,16.6 to 20.1,296196,72407,64066,80747,"64,066 to 80,747",24.4,21.6,27.3,21.6 to 27.3,34923,33241,36606,"$33,241 to $36,606"
1999,1,1000,Alabama,4368014,667468,625251,709685,"625,251 to 709,685",15.3,14.3,16.2,14.3 to 16.2,1120718,248412,220295,276528,"220,295 to 276,528",22.2,19.7,24.7,19.7 to 24.7,804291,161413,137117,185709,"137,117 to 185,709",20.1,17,23.1,17.0 to 23.1,293558,80329,66230,94427,"66,230 to 94,427",27.4,22.6,32.2,22.6 to 32.2,33840,32372,35309,"$32,372 to $35,309"
1998,1,1000,Alabama,4348444,681788,639118,724458,"639,118 to 724,458",15.7,14.7,16.7,14.7 to 16.7,1088427,254628,228439,280817,"228,439 to 280,817",23.4,21,25.8,21.0 to 25.8,789510,166164,143204,189124,"143,204 to 189,124",21,18.1,24,18.1 to 24.0,295264,81804,69287,94320,"69,287 to 94,320",27.7,23.5,31.9,23.5 to 31.9,33204,31213,35194,"$31,213 to $35,194"
1997,1,1000,Alabama,NA,700944,657324,744563,"657,324 to 744,563",16.2,15.2,17.2,15.2 to 17.2,NA,260970,239479,282460,"239,479 to 282,460",23.8,21.8,25.7,21.8 to 25.7,NA,174333,155844,192822,"155,844 to 192,822",22.1,19.8,24.5,19.8 to 24.5,NA,77360,66700,88020,"66,700 to 88,020",25.5,22,29,22.0 to 29.0,30790,29131,32448,"$29,131 to $32,448"
