,state,year,labor force,unemployment rate,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Percent,Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Percent,Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Percent,Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Percent,Median Household Income in Dollars
0,Alabama,1976,1501284,6.8,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
1,Alabama,1977,1568504,7.3,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
2,Alabama,1978,1621710,6.4,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
3,Alabama,1979,1656358,7.2,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
4,Alabama,1980,1669289,8.9,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
5,Alabama,1981,1677652,10.6,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
6,Alabama,1982,1716324,14.1,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
7,Alabama,1983,1756953,13.8,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
8,Alabama,1984,1788133,11,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
9,Alabama,1985,1802728,9.2,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
10,Alabama,1986,1861327,9.7,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
11,Alabama,1987,1869005,8.1,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
12,Alabama,1988,1877663,7.2,4524161,749749.5,17.2,1097007,267674,24.625,797580.5,178183,22.7,294729.5,82291,27.7,36131
13,Alabama,1989,1896227,7,4524161,709148,17.7,1097007,258656,24.1,797580.5,175217,22.7,294729.5,75536,25.9,22202
14,Alabama,1990,1907367,6.8,4524161,729448.75,17.975,1097007,266120,24.625,797580.5,178183,23.075,294729.5,80106,26.975,23128.25
15,Alabama,1991,1920555,7.3,4524161,749749.5,18.25,1097007,273584,25.15,797580.5,181149,23.45,294729.5,84676,28.05,24054.5
16,Alabama,1992,1965516,7.6,4524161,770050.25,18.525,1097007,281048,25.675,797580.5,184115,23.825,294729.5,89246,29.125,24980.75
17,Alabama,1993,2003905,7.3,4524161,790351,18.8,1097007,288512,26.2,797580.5,187081,24.2,294729.5,93816,30.2,25907
18,Alabama,1994,2026692,6.2,4524161,771224,18.2,1097007,289779,26.3,797580.5,187469,24,294729.5,95180.5,30.9,26632
19,Alabama,1995,2067444,6,4524161,752097,17.6,1097007,291046,26.4,797580.5,187857,23.8,294729.5,96545,31.6,27357
